X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.49742,0.4965924,0.49485,0.4971169,0.505505178803441
Trump,0.446538,0.43833,0.43975,0.4370136,0.429284995048465
Johnson,0.02526,0.06495,0.06552,0.06584606,0.0649026115040598
