X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.7612,0.8923,0.8623,0.8952,0.9492
Trump,0.2388,0.1077,0.1377,0.1048,0.0508
Johnson,0,0,0,0,0
