X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.49125,0.46919,0.493825,0.4974114,0.499681452423553
Trump,0.41224,0.45121,0.426012,0.4227703,0.42645318645553
Johnson,0.02672,0.07996,0.0798,0.08050981,0.0745002231464972
