X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.9644,0.9473,0.9559,0.9693,0.9682
Trump,0.0356,0.0527,0.0441,0.0307,0.0318
Johnson,0,0,0,0,0
