X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.4956,0.49232,0.491666,0.4903816,0.490751907577224
Trump,0.44837,0.43742,0.43651,0.4358706,0.436225113163466
Johnson,0.02932,0.07024,0.070915,0.07271404,0.0728567426833137
