X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.4465661,0.4545,0.46016,0.4448736,0.445430656533098
Trump,0.482736,0.46986,0.456639,0.468114,0.468461174049949
Johnson,0.03151,0.07568,0.08247,0.08701148,0.0862190303146095
