X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.9863,0.7231,0.9703,0.9799,0.9789
Trump,0.0137,0.2769,0.0297,0.0201,0.0211
Johnson,0,0,0,0,0
