X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.49564,0.49178,0.49086,0.4909421,0.490736606316404
Trump,0.42365,0.42484,0.42599,0.4209801,0.420756992077853
Johnson,0.03003,0.08373,0.08258,0.08777879,0.0887039684902773
