X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.47394,0.473626,0.47933,0.4767916,0.477008699037001
Trump,0.45592,0.45447,0.45245,0.4562996,0.458000019508117
Johnson,0.02756,0.07277,0.068292,0.06614044,0.0647136852622819
