X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.47323,0.47793,0.47228,0.4703074,0.472404417177949
Trump,0.47137,0.45317,0.45671,0.4612765,0.465409735217455
Johnson,0.02665,0.06887,0.07081,0.06899629,0.0624666795823189
