X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.5105,0.4996015,0.50081,0.4984391,0.499774132478446
Trump,0.4375,0.4472965,0.44396,0.441256,0.443195812166032
Johnson,0.0285,0.05315,0.05658,0.06044904,0.0574074140175191
