X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.6175,0.8028,0.8348,0.8247,0.8251
Trump,0.3825,0.1972,0.1652,0.1753,0.1749
Johnson,0,0,0,0,0
