X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.9039,0.9123,0.9205,0.9031,0.9045
Trump,0.0961,0.0877,0.0795,0.0969,0.0955
Johnson,0,0,0,0,0
