X,X10.10,X10.13,X10.17,X10.19,10/19
Clinton,0.47462,0.47557,0.48001,0.4823829,0.482715021331419
Trump,0.43825,0.43539,0.43603,0.4233672,0.423587708459646
Johnson,0.02847,0.08944,0.08379,0.09331082,0.0933647081647596
