State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
North Carolina,15,751,69,0.425,0.375,0.15
North Carolina,15,484,69,0.455,0.455,0.071
North Carolina,15,738,67,0.303,0.387,0.08
North Carolina,15,500,65,0.4065,0.4435,0.04
North Carolina,15,502,63,0.455,0.445,0.071
North Carolina,15,779,61,0.333,0.377,0.08
North Carolina,15,600,60,0.4175,0.4225,0.05
North Carolina,15,644,57,0.428,0.442,0.06
North Carolina,15,400,57,0.435,0.405,0.09
North Carolina,15,782,54,0.407,0.413,0.11
North Carolina,15,708,54,0.323,0.397,0.09
North Carolina,15,610,53,0.4615,0.4885,0.071
North Carolina,15,1024,52,0.43875,0.44125,0.06
North Carolina,15,734,52,0.4,0.45,0.06
North Carolina,15,404,52,0.43,0.42,0.1
North Carolina,15,264,52,0.485,0.435,0.071
North Carolina,15,487,51,0.38,0.35,0.06
North Carolina,15,694,48,0.4455,0.4245,0.07
North Carolina,15,613,48,0.333,0.407,0.06
North Carolina,15,520,47,0.475,0.445,0.071
North Carolina,15,773,44,0.4615,0.4985,0.05
North Carolina,15,861,42,0.44875,0.41125,0.07
North Carolina,15,660,41,0.448,0.392,0.09
North Carolina,15,535,40,0.4605,0.4295,0.07
North Carolina,15,805,39,0.44,0.43,0.06
North Carolina,15,805,39,0.44,0.43,0.06
North Carolina,15,734,39,0.313,0.417,0.08
North Carolina,15,656,38,0.4595,0.4405,0.05
North Carolina,15,479,36,0.43,0.42,0.08
North Carolina,15,326,36,0.4405,0.435,0.071
North Carolina,15,514,34,0.4815,0.4685,0.071
North Carolina,15,618,33,0.353,0.367,0.07
North Carolina,15,1056,29,0.4605,0.4195,0.071
North Carolina,15,743,28,0.4535,0.4065,0.09
North Carolina,15,600,28,0.4665,0.4135,0.05
North Carolina,15,500,28,0.4465,0.4335,0.05
